District,Mandal,Date,rainfall,temp_min,temp_max,Year
Siddipet,Mirdoddi,01-01-2020,0,19,24.2,2020
Siddipet,Mirdoddi,02-01-2020,0,20.6,28,2020
Siddipet,Mirdoddi,03-01-2020,0,20.9,28.5,2020
Siddipet,Mirdoddi,04-01-2020,0,18.6,27.3,2020
Siddipet,Mirdoddi,05-01-2020,0,14.4,26.7,2020
Siddipet,Mirdoddi,06-01-2020,0,14.3,26.4,2020
Siddipet,Mirdoddi,07-01-2020,0,19.4,29.2,2020
Siddipet,Mirdoddi,08-01-2020,0,20.1,27,2020
Siddipet,Mirdoddi,09-01-2020,0,19.7,29.6,2020
Siddipet,Mirdoddi,10-01-2020,0,17.6,30,2020
Siddipet,Mirdoddi,11-01-2020,0,12.6,27.8,2020
Siddipet,Mirdoddi,12-01-2020,0,12.5,29,2020
Siddipet,Mirdoddi,13-01-2020,0,10.5,28.9,2020
Siddipet,Mirdoddi,14-01-2020,0,12.5,31.4,2020
Siddipet,Mirdoddi,15-01-2020,0,16.5,31.5,2020
Siddipet,Mirdoddi,16-01-2020,0,15.7,29.1,2020
Siddipet,Mirdoddi,17-01-2020,0,17.5,29.5,2020
Siddipet,Mirdoddi,18-01-2020,0,19.5,29.2,2020
Siddipet,Mirdoddi,19-01-2020,0,17.7,29.9,2020
Siddipet,Mirdoddi,20-01-2020,0,17.6,30.2,2020
Siddipet,Mirdoddi,21-01-2020,0,17.5,30.2,2020
Siddipet,Mirdoddi,22-01-2020,0,17.9,30.1,2020
Siddipet,Mirdoddi,23-01-2020,0,15.3,30.5,2020
Siddipet,Mirdoddi,24-01-2020,0,13.9,31,2020
Siddipet,Mirdoddi,25-01-2020,0,14.9,31.4,2020
Siddipet,Mirdoddi,26-01-2020,0,15,32,2020
Siddipet,Mirdoddi,27-01-2020,0,14.2,32.2,2020
Siddipet,Mirdoddi,28-01-2020,0,18.3,33.9,2020
Siddipet,Mirdoddi,29-01-2020,0,17.7,32.7,2020
Siddipet,Mirdoddi,30-01-2020,0,15,30.6,2020
Siddipet,Mirdoddi,31-01-2020,0,13.9,29.5,2020
Siddipet,Mirdoddi,01-02-2020,0,17.4,30.1,2020
Siddipet,Mirdoddi,02-02-2020,0,17.8,30.4,2020
Siddipet,Mirdoddi,03-02-2020,0,17.5,28.8,2020
Siddipet,Mirdoddi,04-02-2020,0,18.9,30.3,2020
Siddipet,Mirdoddi,05-02-2020,0,18.6,32.5,2020
Siddipet,Mirdoddi,06-02-2020,0,18.8,32.6,2020
Siddipet,Mirdoddi,07-02-2020,0,19.7,32.9,2020
Siddipet,Mirdoddi,08-02-2020,0,19.8,31.4,2020
Siddipet,Mirdoddi,09-02-2020,3.6,16.6,26.6,2020
Siddipet,Mirdoddi,10-02-2020,0,17.4,24.7,2020
Siddipet,Mirdoddi,11-02-2020,0,18.4,26.9,2020
Siddipet,Mirdoddi,12-02-2020,0,18.5,28.5,2020
Siddipet,Mirdoddi,13-02-2020,0,14.5,28.1,2020
Siddipet,Mirdoddi,14-02-2020,0,14.5,30.9,2020
Siddipet,Mirdoddi,15-02-2020,0,13.5,34.1,2020
Siddipet,Mirdoddi,16-02-2020,0,14.3,33.3,2020
Siddipet,Mirdoddi,17-02-2020,0,14.4,33.6,2020
Siddipet,Mirdoddi,18-02-2020,0,12.4,34.6,2020
Siddipet,Mirdoddi,19-02-2020,0,12.3,32.1,2020
Siddipet,Mirdoddi,20-02-2020,0,18.4,33.3,2020
Siddipet,Mirdoddi,21-02-2020,0,18.1,31,2020
Siddipet,Mirdoddi,22-02-2020,0,15.7,33.3,2020
Siddipet,Mirdoddi,23-02-2020,0,16.2,34.6,2020
Siddipet,Mirdoddi,24-02-2020,0,18.3,32.3,2020
Siddipet,Mirdoddi,25-02-2020,0,19.2,34.1,2020
Siddipet,Mirdoddi,26-02-2020,0,17.4,31.7,2020
Siddipet,Mirdoddi,27-02-2020,0,17.1,32.6,2020
Siddipet,Mirdoddi,28-02-2020,0,14.6,32.1,2020
Siddipet,Mirdoddi,29-02-2020,0,18.6,33.1,2020
Siddipet,Mirdoddi,01-03-2020,0,18.7,34.1,2020
Siddipet,Mirdoddi,02-03-2020,0,19.1,33.5,2020
Siddipet,Mirdoddi,03-03-2020,0,20.2,35.3,2020
Siddipet,Mirdoddi,04-03-2020,0,18.7,35.7,2020
Siddipet,Mirdoddi,05-03-2020,0,15.9,36,2020
Siddipet,Mirdoddi,06-03-2020,0,21.4,34.6,2020
Siddipet,Mirdoddi,07-03-2020,0,21.4,35.5,2020
Siddipet,Mirdoddi,08-03-2020,0,20.7,35.6,2020
Siddipet,Mirdoddi,09-03-2020,17.6,19.9,34.6,2020
Siddipet,Mirdoddi,10-03-2020,0.4,21.1,31.8,2020
Siddipet,Mirdoddi,11-03-2020,0,21.9,34.7,2020
Siddipet,Mirdoddi,12-03-2020,0,21,33.6,2020
Siddipet,Mirdoddi,13-03-2020,19.7,20,32.5,2020
Siddipet,Mirdoddi,14-03-2020,0,20.1,33.5,2020
Siddipet,Mirdoddi,15-03-2020,0,19.4,34,2020
Siddipet,Mirdoddi,16-03-2020,0,19.9,33.4,2020
Siddipet,Mirdoddi,17-03-2020,0,20.8,35,2020
